refArea,Potable water source - water point,State of the water network - good,State of the water network - acceptable,Potable water source - gallons purchase,Potable water source - artesian well,Total number of permanent water springs,State of the water network - bad,Observation URI,references,Potable water source - public network,publisher,Potable water source - other,Town,Total number of seasonal water springs,dataset,Total number of seasonal water points
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,7,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chane,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chane,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chaouiyeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chaouiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chaqdouf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chaqdouf,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,1,1,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Charbila,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Charbila,7,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Hermel_District,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Charbine+El-Hermel,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Charbine El-Hermel,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,1,0,0,1,0,5,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Charoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Charoun,4,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Nabatieh_Governorate,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Charqiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Charqiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0,0,0,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chartoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chartoun,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,3
http://dbpedia.org/resource/Hasbaya_District,1,0,0,0,1,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chebaa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chebaa,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Tyre_District,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chehabiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chehabiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chehabiyeh+Faour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chehabiyeh Faour,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chehour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chehour,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Cheikh+Ayash,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Cheikh Ayash,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Cheikh+Mohammad,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Cheikh Mohammad,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,1,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Cheikh+Taba,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Cheikh Taba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Cheikh Zennad,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,0,1,1,7,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Cheikhlar,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Cheikhlar,10,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chhim,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chhim,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Batroun_District,0,1,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chibtine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chibtine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chihine,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chihine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chikhane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chikhane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chikka,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chikka,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chimlane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chimlane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Baabda_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chiyah,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chiyah,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,1,0,0,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chlifa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chlifa,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chmistar,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chmistar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,0,0,1,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chnanaair,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chnanaair,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/South_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Choualiq+Jezzine,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Choualiq Jezzine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Hasbaya_District,1,0,0,1,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chouaya+Hasbaiya,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Chouaya Hasbaiya,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,3
http://dbpedia.org/resource/Matn_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chouaya+Maten,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Chouaya Maten,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,1,0,1,1,1,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Choueifat+El-Aamrousiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Choueifat El-Aamrousiyeh,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Baabda_District,1,0,0,0,0,3,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chouit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,1,Chouit,15,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,15
https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Choukine,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Choukine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chourit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chourit,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,6
http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,0,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Chtaura,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Chtaura,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Daghleh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Daghleh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Beqaa_Governorate,1,0,0,1,0,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dahr+El-Ahmar,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Dahr El-Ahmar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dahr+El-Maghara,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Dahr El-Maghara,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dahr+El-Qanbar,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Dahr El-Qanbar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,1,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dahr+Es-Souane+El-Matn,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Dahr Es-Souane El-Matn,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dahr+Laissine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Dahr Laissine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,1,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dalhoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,1,Dalhoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Damalsa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Damalsa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Damour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Damour,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,0,1,0,4,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Daoura,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Daoura,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,1,0,0,1,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Daqqoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Daqqoun,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,3
https://dbpedia.org/page/North_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dar+Baaechtar,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Dar Baaechtar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
https://dbpedia.org/page/North_Governorate,0,0,1,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dar+Chmizzine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Dar Chmizzine,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Daraaoun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Daraaoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Daraiya+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Daraiya Ech-Chouf,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Keserwan_District,0,1,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Daraiya+Kesrouane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Daraiya Kesrouane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Sidon_District,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Darb+Es-Sim,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Darb Es-Sim,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Darine,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Darine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,3
http://dbpedia.org/resource/Matn_District,0,0,1,0,0,10,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Dayshouniyi,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Dayshouniyi,5,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,1,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Debaal+Menie,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Debaal Menie,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,3
http://dbpedia.org/resource/Tyre_District,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Debaal+Sour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Debaal Sour,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Debl,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Debl,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
https://dbpedia.org/page/North_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deddeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Deddeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Aames,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Aames,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/MiniyehâDanniyeh_District,1,0,1,1,1,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Aammar,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Aammar,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Baba,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Baba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Billa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Deir Billa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,1,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Chamra,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,1,Deir Chamra,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Dalloum,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,1,Deir Dalloum,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,1,1,1,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Dourit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Dourit,5,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
https://dbpedia.org/page/Beqaa_Governorate,0,1,0,0,1,4,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+El-Aachayer,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir El-Aachayer,4,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,8
https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+El-Ahmar,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir El-Ahmar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+El-Ghazal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Deir El-Ghazal,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Baabda_District,0,1,0,0,0,50,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+El-harf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir El-harf,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Ez-Zahrani,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Deir Ez-Zahrani,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,1,0,0,0,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Jannine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Jannine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Kifa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Kifa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,1,0,1,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Koucheh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Koucheh,7,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,5
http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,1,8,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Mimas,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Deir Mimas,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Nbouh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Deir Nbouh,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,1,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Ntar,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Ntar,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,0,0,1,7,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Qanoun+El-Aain,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Qanoun El-Aain,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,1,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Qanoun+En-Nahr,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Qanoun En-Nahr,5,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Qoubel,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Deir Qoubel,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Deir+Siriane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Deir Siriane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
